Customer_ID,Customer_Name,Age,Gender,Marital_Status,Education_Level,Employment_Status,Occupation,Annual_Income,Monthly_Income,Monthly_Expenses,Savings_Balance,Account_Balance,Credit_Score,Credit_History_Years,Existing_EMI,Debt_to_Income_Ratio,Number_of_Credit_Cards,Previous_Defaults,Loan_ID,Loan_Term,Interest_Rate,EMI_Amount,Loan_Purpose,Loan_Status,Collateral_Value,Monthly_Transaction_Count,Total_Deposits,Total_Withdrawals,Average_Monthly_Balance,Missed_EMI_Count,Days_Past_Due,Outstanding_Loan_Balance,Fraud_Flag,Risk_Category,Recovery_Status,Loan_Default
CUST100000,Sneha Kapoor,40,Female,Married,Graduate,Employed,Tester,95035,7918,4211,32804,22198,827,10,631,7.66,-2,-4,LN200000,60,11.16,625,Car,Approved,145005,49,13702,11750,21704,3,12,37105,No,Low,Not Required,No
CUST100001,Aishwarya Rao,41,Female,Married,Graduate,Employed,Bank Officer,82085,6841,3665,25597,17405,744,8,507,7.14,7,5,LN200001,38,12.49,513,Personal,Approved,115001,40,11904,10254,16897,3,13,31702,No,Low,Not Required,No
CUST100002,Rahul Sharma,29,Male,Single,Graduate,Employed,Engineer,54003,4503,2505,9995,7000,581,-2,251,5.39,6,-4,LN200002,22,8.24,248,Home,Approved,50002,30,8002,7001,6497,4,-1,19997,No,High,Ongoing,Yes
CUST100003,Pooja Singh,36,Female,Married,Graduate,Employed,Nurse,69116,5765,3135,18402,12601,672,5,394,7.01,7,-4,LN200003,64,7.93,395,Business,Approved,85004,40,10099,8749,12105,4,11,26301,No,Medium,Not Required,No
CUST100004,Arjun Patel,22,Male,Married,Graduate,Employed,Business,58319,4857,2679,12401,8602,603,8,290,5.88,5,0,LN200004,51,9.3,294,Business,Approved,59998,27,8596,7500,8099,-2,35,21798,No,High,Ongoing,Yes
CUST100005,Priya Reddy,21,Female,Married,Graduate,Employed,Analyst,56164,4684,2587,11203,7805,591,2,273,5.53,3,3,LN200005,39,8.83,269,Education,Approved,55000,27,8297,7247,7298,-4,18,20899,No,High,Ongoing,Yes
CUST100006,Pooja Singh,27,Female,Married,Graduate,Employed,Nurse,69115,5761,3134,18401,12599,672,7,390,6.7,0,1,LN200006,61,8.08,385,Business,Approved,85002,36,10095,8753,12101,-2,12,26295,No,Medium,Not Required,No
CUST100007,Pooja Mehta,42,Female,Single,Graduate,Employed,Designer,86400,7200,3853,28000,19005,773,5,553,7.74,0,5,LN200007,60,8.45,546,Home,Approved,125002,44,12495,10754,18502,2,-1,33500,No,Low,Not Required,No
CUST100008,Kavitha Iyer,42,Female,Married,Graduate,Employed,Doctor,90723,7565,4035,30400,20598,796,11,595,7.48,-1,-1,LN200008,35,10.14,590,Business,Approved,134999,45,13101,11252,20105,4,28,35302,No,Low,Not Required,No
CUST100009,Mohan Rao,36,Male,Single,Graduate,Employed,Shop Owner,66958,5583,3037,17201,11799,653,6,372,6.35,5,4,LN200009,53,12.04,365,Education,Approved,79996,32,9803,8495,11304,1,5,25401,No,Medium,Not Required,No
CUST100010,Priya Reddy,31,Female,Married,Graduate,Employed,Analyst,56161,4679,2593,11199,7804,589,-1,273,5.69,-3,0,LN200010,38,8.28,272,Education,Approved,55003,36,8301,7254,7302,0,16,20895,No,High,Ongoing,Yes
CUST100011,Divya Sharma,38,Female,Married,Graduate,Employed,Lecturer,77760,6479,3486,23204,15797,720,2,472,7.31,1,1,LN200011,65,10.66,475,Education,Approved,105001,41,11300,9747,15303,-1,32,29904,No,Low,Not Required,No
CUST100012,Rahul Sharma,21,Male,Single,Graduate,Employed,Engineer,54003,4500,2505,9999,7001,581,2,245,5.8,5,2,LN200012,29,8.05,247,Home,Approved,50004,33,8004,7002,6505,-2,0,19998,No,High,Ongoing,Yes
CUST100013,Aishwarya Rao,39,Female,Married,Graduate,Employed,Bank Officer,82083,6844,3675,25601,17402,751,8,515,7.68,3,-1,LN200013,40,12.45,508,Personal,Approved,114995,38,11900,10248,16898,4,12,31695,No,Low,Not Required,No
CUST100014,Vinod Reddy,38,Male,Married,Graduate,Employed,Electrician,84240,7021,3755,26799,18200,758,6,528,7.13,7,-3,LN200014,53,7.99,527,Car,Approved,119999,43,12200,10500,17698,1,35,32600,No,Low,Not Required,No
CUST100015,Sneha Nair,27,Female,Single,Graduate,Employed,Teacher,60478,5044,2771,13603,9395,624,2,305,6.21,-1,0,LN200015,64,10.02,313,Personal,Approved,65003,30,8900,7748,8904,4,2,22700,No,High,Ongoing,Yes
CUST100016,Anjali Gupta,29,Female,Married,Graduate,Employed,Accountant,64803,5399,2949,16005,11001,644,6,354,6.79,-1,-4,LN200016,40,11.45,353,Home,Approved,74996,30,9496,8246,10503,6,33,24503,No,High,Ongoing,Yes
CUST100017,Priya Reddy,26,Female,Married,Graduate,Employed,Analyst,56163,4677,2594,11198,7801,593,5,275,5.71,3,3,LN200017,38,8.89,269,Education,Approved,55003,26,8301,7247,7295,3,14,20905,No,High,Ongoing,Yes
CUST100018,Anjali Gupta,26,Female,Married,Graduate,Employed,Accountant,64799,5396,2951,15999,11001,649,5,352,6.79,8,3,LN200018,40,11.01,353,Home,Approved,74995,37,9495,8254,10502,2,28,24496,No,High,Ongoing,Yes
CUST100019,Vikram Das,32,Male,Married,Graduate,Employed,Manager,71275,5938,3216,19598,13395,680,15,413,6.71,1,3,LN200019,25,8.88,405,Personal,Approved,90000,40,10400,8999,12901,2,26,27195,No,Medium,Not Required,No
CUST100020,Kavya Iyer,36,Female,Single,Graduate,Employed,HR,73442,6121,3310,20796,14203,696,7,427,7.3,6,-2,LN200020,33,8.98,432,Car,Approved,94996,34,10705,9255,13696,-5,3,28104,No,Medium,Not Required,No
CUST100021,Harish Kumar,34,Male,Single,Graduate,Employed,Retailer,79919,6660,3584,24405,16598,741,10,495,7.61,-1,0,LN200021,19,10.97,490,Business,Approved,110004,47,11604,9999,16096,4,-2,30795,Yes,Low,Not Required,No
CUST100022,Pooja Singh,34,Female,Married,Graduate,Employed,Nurse,69125,5765,3128,18404,12595,676,6,394,7.01,6,5,LN200022,62,7.68,388,Business,Approved,84999,41,10104,8746,12097,-1,10,26298,No,Medium,Not Required,No
CUST100023,Harish Kumar,33,Male,Single,Graduate,Employed,Retailer,79924,6655,3582,24400,16595,741,6,494,7.63,-3,0,LN200023,27,11.34,485,Business,Approved,110004,42,11600,9998,16098,-5,-1,30800,Yes,Low,Not Required,No
CUST100024,Anjali Gupta,27,Female,Married,Graduate,Employed,Accountant,64803,5400,2945,15996,10995,642,9,350,6.54,5,6,LN200024,39,10.98,353,Home,Approved,75003,37,9497,8248,10498,4,26,24498,No,High,Ongoing,Yes
CUST100025,Suresh Naidu,40,Male,Married,Graduate,Employed,Farmer,88558,7385,3945,29195,19802,783,11,568,7.66,0,2,LN200025,27,9.87,566,Education,Approved,130001,44,12801,10996,19301,6,10,34398,Yes,Low,Not Required,No
CUST100026,Mohan Rao,29,Male,Single,Graduate,Employed,Shop Owner,66955,5578,3036,17200,11804,661,7,368,6.57,1,4,LN200026,46,11.9,373,Education,Approved,80005,35,9800,8505,11302,-5,-1,25400,No,Medium,Not Required,No
